机构名称,表中文名,字段中文（可忽略）,数据元
财政,注册会计师从业资格证信息,专业技术资格取得方式,专业技术资格取得方式
财政,注册会计师从业资格证信息,专业技术资格级别,专业技术资格级别
财政,注册会计师从业资格证信息,专业技术资格类型,专业技术资格类型
财政,注册会计师从业资格证信息,取得专业技术职务时间,取得专业技术职务时间
财政,注册会计师从业资格证信息,高端人才取得时间,资格证发证日期
财政,注册会计师从业资格证信息,首次发证日期,资格证首次发证日期
财政,注册会计师从业资格证信息,本次发证日期,资格证本次发证日期
财政,注册会计师从业资格证信息,证书编号,从业资格证证书编号
财政,注册会计师从业资格证信息,证书名称,从业资格证书名称
财政,注册会计师从业资格证信息,国家（地区）,国家地区
财政,注册会计师从业资格证信息,身份证号,公民身份号码
财政,注册会计师从业资格证信息,姓名,姓名
财政,注册会计师从业资格证信息,性别,性别
财政,注册会计师从业资格证信息,核发机关,发证机关
财政,注册会计师从业资格证信息,学历,学历
财政,注册会计师从业资格证信息,执业机构名称,执业机构
财政,注册会计师从业资格证信息,专业技术职务,财会人员专业技术职务
财政,注册会计师从业资格证信息,执业注册时间,资格证注册时间
财政,资产评估师执业登记信息,学历,学历
财政,资产评估师执业登记信息,姓名,姓名
财政,资产评估师执业登记信息,执业登记时间,执业登记时间
财政,资产评估师执业登记信息,执业机构名称,执业机构
财政,资产评估师执业登记信息,专业技术职务,财会人员专业技术职务
财政,资产评估师执业登记信息,执业类别,财会人员执业类型
财政,资产评估师执业登记信息,身份证号,公民身份号码
发改委,发改委个人行政许可信息,居民身份证号码,公民身份号码
发改委,发改委个人行政许可信息,姓名,姓名
发改委,发改委个人行政许可信息,项目名称,许可项目名称
发改委,发改委个人行政许可信息,行政许可决定书文号,行政许可决定书文号
发改委,发改委个人行政许可信息,许可内容,许可内容
发改委,发改委个人行政许可信息,许可决定日期,许可决定日期
发改委,发改委个人行政许可信息,许可有效日期结束时间,许可证有效期结束日期
发改委,发改委个人行政许可信息,许可机关,许可机关
发改委,发改委个人行政许可信息,批准日期,许可批准日期
发改委,发改委个人行政许可信息,核准日期,核准日期
发改委,发改委个人行政许可信息,所属信息分类,所属信息分类
发改委,发改委个人行政许可信息,是否异议信息0:无异议1:有异议,是否有异议
发改委,发改委个人行政许可信息,是否修复0:未修复1:已修复,是否修复
发改委,发改委个人行政许可信息,许可类别,许可类别
发改委,发改委个人行政许可信息,税务登记号,税务登记号
发改委,发改委个人行政许可信息,当前状态,就业状态
发改委,发改委个人行政许可信息,信息使用范围,行政许可使用范围
发改委,发改委个人行政许可信息,许可证有效起始日期,许可证有效期开始日期
发改委,发改委个人行政许可信息,许可证名称,许可证名称
发改委,发改委个人行政许可信息,许可证号码,许可证号
发改委,发改委个人行政许可信息,事业单位证书号,统一社会信用代码
发改委,发改委个人行政许可信息,社会组织登记号,社会组织登记证号
发改委,发改委个人行政许可信息,证件类型,身份证件类型
公安,机动车驾驶证,初次领证日期,驾驶证初次领证日期
公安,机动车驾驶证,档案编号,人事档案编号
公安,机动车驾驶证,发证机关,发证机关
公安,机动车驾驶证,实习记录,实习记录
公安,机动车驾驶证,性别,性别
公安,机动车驾驶证,姓名,姓名
公安,机动车驾驶证,有效期起,有效起始日期
公安,机动车驾驶证,有效期止,有效到期日期
公安,机动车驾驶证,准驾车型,准驾车型
公安,机动车驾驶证,国籍,国籍
公安,机动车驾驶证,状态,驾驶证状态
公安,机动车驾驶证,身份证号,公民身份号码
广电局,报纸期刊新闻采编人员资格培训合格证书信息,单位,工作单位
广电局,报纸期刊新闻采编人员资格培训合格证书信息,发证机关,发证机关
广电局,报纸期刊新闻采编人员资格培训合格证书信息,发证时间,发证时间
广电局,报纸期刊新闻采编人员资格培训合格证书信息,身份证号,公民身份号码
广电局,报纸期刊新闻采编人员资格培训合格证书信息,性别,性别
广电局,报纸期刊新闻采编人员资格培训合格证书信息,学历,学历
广电局,报纸期刊新闻采编人员资格培训合格证书信息,姓名,姓名
广电局,报纸期刊新闻采编人员资格培训合格证书信息,工作单位,工作单位
广电局,报纸期刊新闻采编人员资格培训合格证书信息,职称,职称
广电局,报纸期刊新闻采编人员资格培训合格证书信息,培训合格证书名称,培训合格证书名称
广电局,报纸期刊新闻采编人员资格培训合格证书信息,职务,职务
广电局,报纸期刊新闻采编人员资格培训合格证书信息,证书编号,培训合格证书编号
广电局,广播电视编辑记者、播音员、主持人资格考试合格证书信息,核发时间,证件核发日期
广电局,广播电视编辑记者、播音员、主持人资格考试合格证书信息,核发机关,发证机关
广电局,广播电视编辑记者、播音员、主持人资格考试合格证书信息,身份证号,公民身份号码
广电局,广播电视编辑记者、播音员、主持人资格考试合格证书信息,性别,性别
广电局,广播电视编辑记者、播音员、主持人资格考试合格证书信息,姓名,姓名
广电局,广播电视编辑记者、播音员、主持人资格考试合格证书信息,证书类型,资格证证书类型
广电局,广播电视编辑记者、播音员、主持人资格考试合格证书信息,证书编号,考试合格证书编号
海事局,海船船员培训合格证书信息,适用公约条款,适用公约条款
海事局,海船船员培训合格证书信息,身份证类型,身份证件类型
海事局,海船船员培训合格证书信息,证书号码,海员培训合格证编号
海事局,海船船员培训合格证书信息,证书状态,资格证证书状态
海事局,海船船员培训合格证书信息,有效期至,证书有效期截止日期
海事局,海船船员培训合格证书信息,身份证号码,公民身份号码
海事局,海船船员培训合格证书信息,证书签发日期,发证日期
海事局,海船船员培训合格证书信息,签发机关名称,发证机关
海事局,海船船员培训合格证书信息,船员姓名,船员姓名
海事局,海船船员培训合格证书信息,国籍,国籍
海事局,海船船员培训合格证书信息,性别,性别
海事局,海船船员培训合格证书信息,合格证名称,合格证名称
海事局,海船船员适任证书信息,适用的限制(等级与职务),海员适用限制
海事局,海船船员适任证书信息,出生日期,出生日期
海事局,海船船员适任证书信息,证书号码,海员适任证编号
海事局,海船船员适任证书信息,等级与职务,海员等级职务
海事局,海船船员适任证书信息,证书状态,资格证证书状态
海事局,海船船员适任证书信息,证书有效期截止日期,证书有效期截止日期
海事局,海船船员适任证书信息,职能,海员职能
海事局,海船船员适任证书信息,身份证号码,公民身份号码
海事局,海船船员适任证书信息,证书签发日期,发证日期
海事局,海船船员适任证书信息,签发机关名称,发证机关
海事局,海船船员适任证书信息,级别,海员级别
海事局,海船船员适任证书信息,船员姓名,船员姓名
海事局,海船船员适任证书信息,国籍,国籍
海事局,海船船员适任证书信息,照片信息,个人照片
海事局,海船船员适任证书信息,性别,性别
海事局,海员证信息,国籍,国籍
海事局,海员证信息,海员证截止日期,资格证有效截止日期
海事局,海员证信息,签发国代码,海员证签发国代码
海事局,海员证信息,海员证签发日期,签发日期
海事局,海员证信息,身份证类型,身份证件类型
海事局,海员证信息,海员证生效日期,资格证生效日期
海事局,海员证信息,海员姓名,海员姓名
海事局,海员证信息,身份证号码,公民身份号码
海事局,海员证信息,性别,性别
海事局,海员证信息,海员证签发单位,签发机构
海事局,海员证信息,海员证编号,海员证编号
交通运输,出租汽车驾驶员从业资格信息,车牌号,车牌号码
交通运输,出租汽车驾驶员从业资格信息,从业资格证书名称,从业资格证书名称
交通运输,出租汽车驾驶员从业资格信息,登记时间,登记时间
交通运输,出租汽车驾驶员从业资格信息,核发机关,发证机关
交通运输,出租汽车驾驶员从业资格信息,核发日期,资格证核发日期
交通运输,出租汽车驾驶员从业资格信息,驾驶证取得时间,驾驶证取得时间
交通运输,出租汽车驾驶员从业资格信息,家庭住址,家庭住址
交通运输,出租汽车驾驶员从业资格信息,联系电话,联系电话
交通运输,出租汽车驾驶员从业资格信息,身份证号,公民身份号码
交通运输,出租汽车驾驶员从业资格信息,姓名,姓名
交通运输,出租汽车驾驶员从业资格信息,有效到期日期,有效到期日期
交通运输,出租汽车驾驶员从业资格信息,有效起始日期,有效起始日期
交通运输,出租汽车驾驶员从业资格信息,证书编号,从业资格证证书编号
交通运输,出租汽车驾驶员从业资格信息,证书状态,资格证证书状态
交通运输,道路危险货物人员上岗资格信息,车牌号,车牌号码
交通运输,道路危险货物人员上岗资格信息,登记时间,登记时间
交通运输,道路危险货物人员上岗资格信息,核发机关,发证机关
交通运输,道路危险货物人员上岗资格信息,核发日期,资格证核发日期
交通运输,道路危险货物人员上岗资格信息,驾驶证取得时间,驾驶证取得时间
交通运输,道路危险货物人员上岗资格信息,联系电话,联系电话
交通运输,道路危险货物人员上岗资格信息,身份证号,公民身份号码
交通运输,道路危险货物人员上岗资格信息,姓名,姓名
交通运输,道路危险货物人员上岗资格信息,有效到期日期,有效到期日期
交通运输,道路危险货物人员上岗资格信息,有效起始日期,有效起始日期
交通运输,道路危险货物人员上岗资格信息,证书编号,从业资格证证书编号
交通运输,道路危险货物人员上岗资格信息,证书名称,从业资格证书名称
交通运输,道路危险货物人员上岗资格信息,证书状态,资格证证书状态
交通运输,道路运输从业人员从业资格证信息,初始领证时间,驾驶证初次领证日期
交通运输,道路运输从业人员从业资格证信息,从业资格类别,从业资格类别
交通运输,道路运输从业人员从业资格证信息,证号,资格证证照编号
交通运输,道路运输从业人员从业资格证信息,准驾车型,准驾车型
交通运输,道路运输从业人员从业资格证信息,住址,住址
交通运输,道路运输从业人员从业资格证信息,姓名,姓名
交通运输,道路运输从业人员从业资格证信息,国籍,国籍
交通运输,道路运输从业人员从业资格证信息,发证机关,发证机关
交通运输,道路运输从业人员从业资格证信息,性别,性别
交通运输,道路运输从业人员从业资格证信息,证照状态,资格证状态
交通运输,道路运输从业人员从业资格证信息,有效期起,有效起始日期
交通运输,道路运输从业人员从业资格证信息,有效期止,有效到期日期
交通运输,公路水运工程施工企业安全生产三类人员信息,工作单位,工作单位
交通运输,公路水运工程施工企业安全生产三类人员信息,办证时间,办证时间
交通运输,公路水运工程施工企业安全生产三类人员信息,出生年月,出生年月
交通运输,公路水运工程施工企业安全生产三类人员信息,姓名,姓名
交通运输,公路水运工程施工企业安全生产三类人员信息,技术职称,技术职称名称
交通运输,公路水运工程施工企业安全生产三类人员信息,身份证号,公民身份号码
交通运输,公路水运工程施工企业安全生产三类人员信息,申请企业名称,申请企业名称
交通运输,公路水运工程施工企业安全生产三类人员信息,性别,性别
交通运输,公路水运工程施工企业安全生产三类人员信息,有效到期日期,有效到期日期
交通运输,公路水运工程施工企业安全生产三类人员信息,有效起始日期,有效起始日期
交通运输,公路水运工程施工企业安全生产三类人员信息,证书类别,公路水运工程施工企业人员证书类别
交通运输,公路水运工程施工企业安全生产三类人员信息,职位,任职岗位
交通运输,公路水运工程施工企业安全生产三类人员信息,证书编号,从业资格证证书编号
交通运输,公路养护企业安全生产三类人员信息,工作单位,工作单位
交通运输,公路养护企业安全生产三类人员信息,姓名,姓名
交通运输,公路养护企业安全生产三类人员信息,有效到期日期,有效到期日期
交通运输,公路养护企业安全生产三类人员信息,有效起始日期,有效起始日期
交通运输,公路养护企业安全生产三类人员信息,身份证号,公民身份号码
交通运输,公路养护企业安全生产三类人员信息,证书编号,从业资格证证书编号
交通运输,交通工程公路水运施工企业安全生产三类人员信息,办证时间,办证时间
交通运输,交通工程公路水运施工企业安全生产三类人员信息,申请企业名称,申请企业名称
交通运输,交通工程公路水运施工企业安全生产三类人员信息,有效到期日期,有效到期日期
交通运输,交通工程公路水运施工企业安全生产三类人员信息,有效起始日期,有效起始日期
交通运输,交通工程公路水运施工企业安全生产三类人员信息,姓名,姓名
交通运输,交通工程公路水运施工企业安全生产三类人员信息,职务,职务
交通运输,交通工程公路水运施工企业安全生产三类人员信息,技术职称,技术职称名称
交通运输,交通工程公路水运施工企业安全生产三类人员信息,证书编号,从业资格证证书编号
交通运输,交通工程公路水运施工企业安全生产三类人员信息,身份证号,公民身份号码
交通运输,网络预约出租汽车驾驶证信息,初始领证时间,驾驶证初次领证日期
交通运输,网络预约出租汽车驾驶证信息,证号,资格证证照编号
交通运输,网络预约出租汽车驾驶证信息,准驾车型,准驾车型
交通运输,网络预约出租汽车驾驶证信息,住址,住址
交通运输,网络预约出租汽车驾驶证信息,姓名,姓名
交通运输,网络预约出租汽车驾驶证信息,身份证号,公民身份号码
交通运输,网络预约出租汽车驾驶证信息,国籍,国籍
交通运输,网络预约出租汽车驾驶证信息,发证机关,发证机关
交通运输,网络预约出租汽车驾驶证信息,性别,性别
交通运输,网络预约出租汽车驾驶证信息,证照状态,资格证状态
交通运输,网络预约出租汽车驾驶证信息,有效期起,有效起始日期
教育,教师资格证认定信息,出生日期,出生日期
教育,教师资格证认定信息,民族,民族
教育,教师资格证认定信息,认定机构名称,认定机构名称
教育,教师资格证认定信息,任教学科,任教学科
教育,教师资格证认定信息,身份证号,公民身份号码
教育,教师资格证认定信息,证照状态,资格证状态
教育,教师资格证认定信息,性别,性别
教育,教师资格证认定信息,姓名,姓名
教育,教师资格证认定信息,资格种类,教师资格种类
教育,教师资格证认定信息,证书编号,从业资格证证书编号
教育,教师资格证认定信息,证书签发日期,发证日期
经信,无线电频率使用许可信息,企业名称或个人姓名,企业名称或个人姓名
经信,无线电频率使用许可信息,统一社会信用代码,统一社会信用代码
经信,无线电频率使用许可信息,许可编号,许可编号
经信,无线电频率使用许可信息,许可机关名称,许可机关
经信,无线电频率使用许可信息,许可类型,许可类别
经信,无线电频率使用许可信息,许可内容,许可内容
经信,无线电频率使用许可信息,许可日期,许可日期
经信,无线电频率使用许可信息,注销时间,注销时间
民政,社会工作者注册信息,执行时间,资格证注册时间
民政,社会工作者注册信息,所学专业,所学专业
民政,社会工作者注册信息,毕业时间,毕业日期
民政,社会工作者注册信息,学历,学历
民政,社会工作者注册信息,政治面貌,政治面貌
民政,社会工作者注册信息,性别,性别
民政,社会工作者注册信息,身份证,公民身份号码
民政,社会工作者注册信息,姓名,姓名
农业农村,动物检疫员资格证信息,姓名,姓名
农业农村,动物检疫员资格证信息,官方兽医编号,官方兽医编号
农业农村,动物检疫员资格证信息,单位名称,单位名称
农业农村,动物检疫员资格证信息,出生日期,出生日期
农业农村,动物检疫员资格证信息,联系电话,联系电话
农业农村,动物检疫员资格证信息,毕业院校,毕业院校
农业农村,动物检疫员资格证信息,专业,专业名称
农业农村,动物检疫员资格证信息,身份证号,公民身份号码
农业农村,动物检疫员资格证信息,性别,性别
农业农村,动物检疫员资格证信息,用户角色,用户角色
农业农村,动物检疫员资格证信息,学历,学历
农业农村,动物检疫员资格证信息,职务,职务
农业农村,动物检疫员资格证信息,职称,职称
农业农村,动物检疫员资格证信息,政治面貌,政治面貌
农业农村,动物狂犬病免疫证明信息,地区编号,行政区划代码
农业农村,动物狂犬病免疫证明信息,发证日期,发证日期
农业农村,动物狂犬病免疫证明信息,栏目编号,动物狂犬病免疫证明编号
农业农村,动物狂犬病免疫证明信息,是否启用,证件是否启用
农业农村,动物狂犬病免疫证明信息,畜主,畜主
农业农村,动物狂犬病免疫证明信息,地址,动物畜养地址
农业农村,动物狂犬病免疫证明信息,发证单位,发证机关
农业农村,动物狂犬病免疫证明信息,畜主身份证号,畜主公民身份号码
农业农村,动物狂犬病免疫证明信息,犬类品种,犬类品种
农业农村,动物狂犬病免疫证明信息,免疫记录,动物狂犬病免疫记录
农业农村,动物狂犬病免疫证明信息,状态,证明状态
农业农村,买卖国家二级保护野生植物许可信息,地区编号,行政区划代码
农业农村,买卖国家二级保护野生植物许可信息,审批日期,审批日期
农业农村,买卖国家二级保护野生植物许可信息,有效期,许可有效期
农业农村,买卖国家二级保护野生植物许可信息,审核日期,审核日期
农业农村,买卖国家二级保护野生植物许可信息,栏目编号,许可编号
农业农村,买卖国家二级保护野生植物许可信息,是否启用,证件是否启用
农业农村,买卖国家二级保护野生植物许可信息,申请地点,许可申请地
农业农村,买卖国家二级保护野生植物许可信息,申请许可来源,申请许可来源
农业农村,买卖国家二级保护野生植物许可信息,申请许可获取方式,申请许可获取方式
农业农村,买卖国家二级保护野生植物许可信息,个人身份证号,公民身份号码
农业农村,买卖国家二级保护野生植物许可信息,法定代表人,法定代表人
农业农村,买卖国家二级保护野生植物许可信息,地址,地址
农业农村,买卖国家二级保护野生植物许可信息,电话号码,联系电话
农业农村,买卖国家二级保护野生植物许可信息,邮政编码,邮政编码
农业农村,买卖国家二级保护野生植物许可信息,申请许可种（丫种）,申请许可种
农业农村,买卖国家二级保护野生植物许可信息,申请数量,申请数量
农业农村,买卖国家二级保护野生植物许可信息,申请期限,申请期限
农业农村,买卖国家二级保护野生植物许可信息,状态,许可证状态
农业农村,农村能源特有工种资格信息,身份证号,公民身份号码
农业农村,农村能源特有工种资格信息,证书号,注册证书编号
农业农村,农村能源特有工种资格信息,姓名,姓名
农业农村,农村能源特有工种资格信息,性别,性别
农业农村,农村能源特有工种资格信息,所在单位,所属单位
农业农村,农村能源特有工种资格信息,工种,工种类别
农业农村,农机安全监理考试员信息,有效期,证书有效期
农业农村,农机安全监理考试员信息,操作,操作类别
农业农村,农机安全监理考试员信息,考试种类,考试种类
农业农村,农机安全监理考试员信息,姓名,姓名
农业农村,农机安全监理考试员信息,工作单位,工作单位
农业农村,农机安全监理考试员信息,证号,资格证证照编号
农业农村,农机安全监理考试员信息,类型,身份证件类型
农业农村,农机安全检验员信息,编制,人员编制
农业农村,农机安全检验员信息,性别,性别
农业农村,农机安全检验员信息,检验种类,农机安全检验种类
农业农村,农机安全检验员信息,类型,农机检验类型
农业农村,农机安全检验员信息,姓名,姓名
农业农村,农机安全检验员信息,所在单位,所属单位
农业农村,农机安全检验员信息,所属地区,所属地区
农业农村,农机安全检验员信息,身份证号,公民身份号码
农业农村,农机安全检验员信息,出生日期,出生日期
农业农村,农机安全检验员信息,职务,职务
农业农村,农机安全检验员信息,证号,资格证证照编号
农业农村,农机安全乡镇检验员信息,编制,人员编制
农业农村,农机安全乡镇检验员信息,出生日期,出生日期
农业农村,农机安全乡镇检验员信息,性别,性别
农业农村,农机安全乡镇检验员信息,姓名,姓名
农业农村,农机安全乡镇检验员信息,所属地,所属地
农业农村,农机安全乡镇检验员信息,身份证号,公民身份号码
农业农村,农机安全乡镇检验员信息,所在单位,所属单位
农业农村,农机安全乡镇检验员信息,职务,职务
农业农村,农机安全乡镇检验员信息,证号,资格证证照编号
农业农村,农机事故处理员信息,编制,人员编制
农业农村,农机事故处理员信息,操作,操作类别
农业农村,农机事故处理员信息,性别,性别
农业农村,农机事故处理员信息,姓名,姓名
农业农村,农机事故处理员信息,所在单位,所属单位
农业农村,农机事故处理员信息,所属地区,所属地区
农业农村,农机事故处理员信息,身份证号,公民身份号码
农业农村,农机事故处理员信息,业务种类,业务种类
农业农村,农机事故处理员信息,状态,资格证状态
农业农村,农业机械维修技术合格证信息,地区编号,行政区划代码
农业农村,农业机械维修技术合格证信息,发证日期,发证日期
农业农村,农业机械维修技术合格证信息,有效起始期,有效期开始日期
农业农村,农业机械维修技术合格证信息,有效终止期,有效期截止日期
农业农村,农业机械维修技术合格证信息,栏目编号,农机维修技术合格证编号
农业农村,农业机械维修技术合格证信息,是否启用,证件是否启用
农业农村,农业机械维修技术合格证信息,经营者名称,经营者名称
农业农村,农业机械维修技术合格证信息,经营场所,经营场所
农业农村,农业机械维修技术合格证信息,负责人,负责人
农业农村,农业机械维修技术合格证信息,维修类型及等级,维修类型及等级
农业农村,农业机械维修技术合格证信息,维修范围,维修范围
农业农村,农业机械维修技术合格证信息,发证机关,发证机关
农业农村,农业机械维修技术合格证信息,负责人身份证号,负责人公民身份号码
农业农村,农业机械维修技术合格证信息,统一社会信用代码,统一社会信用代码
农业农村,农业机械维修技术合格证信息,状态,合格证书状态
农业农村,生鲜乳准运证明信息,地区编号,行政区划代码
农业农村,生鲜乳准运证明信息,批准时间,批准时间
农业农村,生鲜乳准运证明信息,有效起始期,有效期开始日期
农业农村,生鲜乳准运证明信息,有效终止期,有效期截止日期
农业农村,生鲜乳准运证明信息,是否启用,证件是否启用
农业农村,生鲜乳准运证明信息,车牌号码,车牌号码
农业农村,生鲜乳准运证明信息,车辆所有者名称,车辆所有者名称
农业农村,生鲜乳准运证明信息,核定最大运载量（吨）,核定最大运载量
农业农村,生鲜乳准运证明信息,批准机关,批准机关
农业农村,生鲜乳准运证明信息,身份证号,公民身份号码
农业农村,生鲜乳准运证明信息,状态,证明状态
农业农村,拖拉机和联合收割机驾驶证信息,初次领证日期,驾驶证初次领证日期
农业农村,拖拉机和联合收割机驾驶证信息,有效期止日期,有效期截止日期
农业农村,拖拉机和联合收割机驾驶证信息,有效期始日期,驾驶证有效开始日期
农业农村,拖拉机和联合收割机驾驶证信息,是否启用,证件是否启用
农业农村,拖拉机和联合收割机驾驶证信息,身份证号(驾驶证号),驾驶证号码
农业农村,拖拉机和联合收割机驾驶证信息,有效期(年),驾驶证有效期限
农业农村,拖拉机和联合收割机驾驶证信息,发证机关,发证机关
农业农村,拖拉机和联合收割机驾驶证信息,状态,驾驶证状态
农业农村,拖拉机和联合收割机驾驶证信息,姓名,姓名
农业农村,拖拉机和联合收割机驾驶证信息,性别,性别
农业农村,拖拉机和联合收割机驾驶证信息,国籍,国籍
农业农村,拖拉机和联合收割机驾驶证信息,地址,地址
农业农村,拖拉机和联合收割机驾驶证信息,准驾机型,准驾农机机型
农业农村,拖拉机和联合收割机驾驶证信息,所属地区,所属地区
农业农村,拖拉机和联合收割机驾驶证信息,状态,驾驶证状态
农业农村,执业兽医师资格证信息,地区编号,行政区划代码
农业农村,执业兽医师资格证信息,发证时间,发证时间
农业农村,执业兽医师资格证信息,是否启用,证件是否启用
农业农村,执业兽医师资格证信息,照片,个人照片
农业农村,执业兽医师资格证信息,姓名,姓名
农业农村,执业兽医师资格证信息,内容,资格证内容
农业农村,执业兽医师资格证信息,证书编号,从业资格证证书编号
农业农村,执业兽医师资格证信息,发证机关,发证机关
农业农村,执业兽医师资格证信息,身份证件号,公民身份号码
农业农村,执业兽医师资格证信息,发证日期,发证日期
农业农村,执业兽医师资格证信息,状态,资格证状态
农业农村,执业助理兽医师资格证信息,地区编号,行政区划代码
农业农村,执业助理兽医师资格证信息,发证时间,发证时间
农业农村,执业助理兽医师资格证信息,是否启用,证件是否启用
农业农村,执业助理兽医师资格证信息,照片,个人照片
农业农村,执业助理兽医师资格证信息,姓名,姓名
农业农村,执业助理兽医师资格证信息,内容,资格证内容
农业农村,执业助理兽医师资格证信息,证书编号,从业资格证证书编号
农业农村,执业助理兽医师资格证信息,发证机关,发证机关
农业农村,执业助理兽医师资格证信息,身份证件号,公民身份号码
农业农村,执业助理兽医师资格证信息,发证日期,发证日期
农业农村,执业助理兽医师资格证信息,状态,资格证状态
农业农村,渔业船员信息,出生日期,出生日期
农业农村,渔业船员信息,地址,地址
农业农村,渔业船员信息,签发机关,发证机关
农业农村,渔业船员信息,证书有效期,证书有效期
农业农村,渔业船员信息,身份证号码,公民身份号码
农业农村,渔业船员信息,状态,资格证状态
农业农村,渔业船员信息,签发日期,证明签发日期
农业农村,渔业船员信息,性别,性别
农业农村,渔业船员信息,姓名,姓名
农业农村,渔业船员信息,证书编号,从业资格证证书编号
人社,初中高级专业技术职务任职资格证书信息,毕业学校,毕业院校
人社,初中高级专业技术职务任职资格证书信息,出生年月,出生年月
人社,初中高级专业技术职务任职资格证书信息,联系电话,联系电话
人社,初中高级专业技术职务任职资格证书信息,发证单位,发证机关
人社,初中高级专业技术职务任职资格证书信息,发证时间,发证时间
人社,初中高级专业技术职务任职资格证书信息,工作单位,工作单位
人社,初中高级专业技术职务任职资格证书信息,级别名称,资格级别
人社,初中高级专业技术职务任职资格证书信息,取得方式,资格证取得方式
人社,初中高级专业技术职务任职资格证书信息,取得资格时间,取得资格时间
人社,初中高级专业技术职务任职资格证书信息,所属系列,专业技术职务系列名称
人社,初中高级专业技术职务任职资格证书信息,状态,资格证状态
人社,初中高级专业技术职务任职资格证书信息,所学专业,所学专业
人社,初中高级专业技术职务任职资格证书信息,所在县（市、区）、市本级,所在市县区
人社,初中高级专业技术职务任职资格证书信息,通讯地址,通讯地址
人社,初中高级专业技术职务任职资格证书信息,性别,性别
人社,初中高级专业技术职务任职资格证书信息,邮政编码,邮政编码
人社,初中高级专业技术职务任职资格证书信息,资格名称,资格名称
人社,初中高级专业技术职务任职资格证书信息,最高学历,最高学历
人社,初中高级专业技术职务任职资格证书信息,最高学位,最高学位
人社,初中高级专业技术职务任职资格证书信息,证件类别,身份证件类型
人社,初中高级专业技术职务任职资格证书信息,照片路径,个人照片
人社,初中高级专业技术职务任职资格证书信息,证书查询,证书查询
人社,初中高级专业技术职务任职资格证书信息,专业名称,专业名称
人社,初中高级专业技术职务任职资格证书信息,在职状态,在职状态
人社,初中高级专业技术职务任职资格证书信息,姓名,姓名
人社,初中高级专业技术职务任职资格证书信息,证件号码,身份证件号码
人社,初中高级专业技术职务任职资格证书信息,证书编号,从业资格证证书编号
人社,全国专业技术人员计算机应用能力考试证书信息,发证单位,发证机关
人社,全国专业技术人员计算机应用能力考试证书信息,发证日期,发证日期
人社,全国专业技术人员计算机应用能力考试证书信息,合格科目名称,考试合格科目名称
人社,全国专业技术人员计算机应用能力考试证书信息,科目序号,科目序号
人社,全国专业技术人员计算机应用能力考试证书信息,姓名,姓名
人社,全国专业技术人员计算机应用能力考试证书信息,状态,资格证状态
人社,全国专业技术人员计算机应用能力考试证书信息,通过时间,考试通过时间
人社,全国专业技术人员计算机应用能力考试证书信息,性别,性别
人社,全国专业技术人员计算机应用能力考试证书信息,证件号码,身份证件号码
人社,全国专业技术人员计算机应用能力考试证书信息,照片路径,个人照片
人社,全国专业技术人员计算机应用能力考试证书信息,证书查询,证书查询
人社,职称证书信息注吊销信息,姓名,姓名
人社,职称证书信息注吊销信息,证件类型,身份证件类型
人社,职称证书信息注吊销信息,证件号码,身份证件号码
人社,职称证书信息注吊销信息,专业技术资格名称（含等级）,专业技术资格名称
人社,职称证书信息注吊销信息,证书号,职称证书编号
人社,职称证书信息注吊销信息,注销类型,注销类型
人社,职称证书信息注吊销信息,注销日期,职称证书注销日期
人社,职称证书信息注吊销信息,注销机关,注销机关
人社,职业技能证书信息,证书类型,资格证证书类型
人社,职业技能证书信息,性别,性别
人社,职业技能证书信息,证件号码,身份证件号码
人社,职业技能证书信息,证件类型,身份证件类型
人社,职业技能证书信息,发证单位,发证机关
人社,职业技能证书信息,等级,职业技能等级
人社,职业技能证书信息,职业方向,职业
人社,职业技能证书信息,理论成绩,理论成绩
人社,职业技能证书信息,姓名,姓名
人社,职业技能证书信息,评定成绩,评定成绩
人社,职业技能证书信息,技能成绩,技能成绩
人社,职业技能证书信息,综合成绩,职业技能综合成绩
人社,职业技能证书信息,证书颁发日期,发证日期
人社,职业技能证书信息,证书编号,职业技能证书编号
人社,职业技能证书信息,职业工种,职业工种类别
人社,专业技术人员资格考试证书信息,报考级别名称,报考级别名称
人社,专业技术人员资格考试证书信息,报考专业名称,报考专业名称
人社,专业技术人员资格考试证书信息,发证单位,发证机关
人社,专业技术人员资格考试证书信息,考试科目,考试科目
人社,专业技术人员资格考试证书信息,考试时间,考试时间
人社,专业技术人员资格考试证书信息,签发时间,发证日期
人社,专业技术人员资格考试证书信息,状态,资格证状态
人社,专业技术人员资格考试证书信息,有效年度数,有效年度数
人社,专业技术人员资格考试证书信息,有效期截止,有效期截止日期
人社,专业技术人员资格考试证书信息,有效期起始,证书有效期开始日期
人社,专业技术人员资格考试证书信息,有效期起始年度,有效期开始年度
人社,专业技术人员资格考试证书信息,证件类别,身份证件类型
人社,专业技术人员资格考试证书信息,照片路径,个人照片
人社,专业技术人员资格考试证书信息,合格年份,考试合格年份
人社,专业技术人员资格考试证书信息,考生姓名,考生姓名
人社,专业技术人员资格考试证书信息,证件号码,身份证件号码
人社,专业技术人员资格考试证书信息,证照编号,资格证证照编号
人社,专业技术人员资格考试证书信息,证照名称,资格证证照名称
人社,自主评聘单位专业技术职务聘任信息,从事专业,从事专业
人社,自主评聘单位专业技术职务聘任信息,工作单位,工作单位
